x,y
-149.190781,10.243980
-148.589589,10.243980
-148.389191,10.243980
-148.990384,10.243980
-148.789986,10.243980
-151.395154,10.243980
-151.194757,10.243980
-151.795949,10.243980
-151.595552,10.243980
-150.994359,10.243980
-150.393167,10.243980
-150.192769,10.243980
-150.793962,10.243980
-150.593564,10.243980
-148.188794,10.243980
-145.784023,10.243980
-145.583626,10.243980
-146.184818,10.243980
-145.984421,10.243980
-145.383228,10.243980
-144.782035,10.243980
-144.581638,10.243980
-145.182830,10.243980
-144.982433,10.243980
-147.587601,10.243980
-147.387203,10.243980
-147.988396,10.243980
-147.787999,10.243980
-147.186806,10.243980
-146.585613,10.243980
-146.385216,10.243980
-146.986408,10.243980
-146.786011,10.243980
-69.783487,0.784307
-69.583089,0.784307
-70.184282,0.784307
-69.983884,0.784307
-69.382692,0.784307
-68.781499,0.784307
-68.581102,0.784307
-69.182294,0.784307
-68.981897,0.784307
-71.587065,0.784307
-71.386667,0.784307
-71.987860,0.784307
-71.787462,0.784307
-71.186270,0.784307
-70.585077,0.784307
-70.384680,0.784307
-70.985872,0.784307
-70.785475,0.784307
-68.380704,0.784307
-65.975934,0.784307
-65.775536,0.784307
-66.376729,0.784307
-66.176331,0.784307
-65.575139,0.784307
-64.973946,0.784307
-64.773548,0.784307
-65.374741,0.784307
-65.174343,0.784307
-67.779511,0.784307
-67.579114,0.784307
-68.180307,0.784307
-67.979909,0.784307
-67.378716,0.784307
-66.777524,0.784307
-66.577126,0.784307
-67.178319,0.784307
-66.977921,0.784307
-72.188257,0.784307
-77.398594,0.784307
-77.198196,0.784307
-77.799389,0.784307
-77.598991,0.784307
-76.997798,0.784307
-76.396606,0.784307
-76.196208,0.784307
-76.797401,0.784307
-76.597003,0.784307
-79.202171,0.784307
-79.001774,0.784307
-79.602966,0.784307
-79.402569,0.784307
-78.801376,0.784307
-78.200184,0.784307
-77.999786,0.784307
-78.600979,0.784307
-78.400581,0.784307
-75.995811,0.784307
-73.591040,0.784307
-73.390643,0.784307
-73.991835,0.784307
-73.791438,0.784307
-73.190245,0.784307
-72.589052,0.784307
-72.388655,0.784307
-72.989848,0.784307
-72.789450,0.784307
-75.394618,0.784307
-75.194221,0.784307
-75.795413,0.784307
-75.595016,0.784307
-74.993823,0.784307
-74.392630,0.784307
-74.192233,0.784307
-74.793425,0.784307
-74.593028,0.784307
-54.753671,0.784307
-54.553274,0.784307
-55.154466,0.784307
-54.954069,0.784307
-54.352876,0.784307
-53.751683,0.784307
-53.551286,0.784307
-54.152479,0.784307
-53.952081,0.784307
-56.557249,0.784307
-56.356852,0.784307
-56.958044,0.784307
-56.757647,0.784307
-56.156454,0.784307
-55.555261,0.784307
-55.354864,0.784307
-55.956056,0.784307
-55.755659,0.784307
-53.350888,0.784307
-50.946118,0.784307
-50.745720,0.784307
-51.346913,0.784307
-51.146515,0.784307
-50.545323,0.784307
-49.944130,0.784307
-49.743733,0.784307
-50.344925,0.784307
-50.144528,0.784307
-52.749696,0.784307
-52.549298,0.784307
-53.150491,0.784307
-52.950093,0.784307
-52.348901,0.784307
-51.747708,0.784307
-51.547311,0.784307
-52.148503,0.784307
-51.948106,0.784307
-57.158442,0.784307
-62.368778,0.784307
-62.168380,0.784307
-62.769573,0.784307
-62.569175,0.784307
-61.967983,0.784307
-61.366790,0.784307
-61.166393,0.784307
-61.767585,0.784307
-61.567188,0.784307
-64.172356,0.784307
-63.971958,0.784307
-64.573151,0.784307
